id,json,is_valid
1,"[4, 1, 2, 7, 5, 3, 8, 9, 6]",true
2,"[90, 40, 10, 20]",true
3,"[-5]",true
9,"[]",false
5,"[]",false
8,"[]",false
10,"[4, 0, 1, 2, 8, 9, 5, 3, 12, 10, 6, 7, 13, 14, 15, 11]",true
11,"[5, 0, 1, 2, 3, 10, 11, 6, 7, 4, 15, 16, 12, 8, 9, 20, 17, 18, 13, 14, 21, 22, 23, 24, 19]",true
12,"[3, 1, 4, 2]",true
13,"[9, 1, 2, 3, 4, 5, 6, 7, 17, 18, 10, 11, 12, 13, 14, 8, 25, 26, 27, 19, 20, 21, 15, 16, 33, 34, 35, 36, 28, 22, 23, 24, 41, 42, 43, 37, 29, 30, 31, 32, 49, 50, 44, 45, 46, 38, 39, 40, 57, 51, 52, 53, 54, 55, 47, 48, 58, 59, 60, 61, 62, 63, 64, 56]",true
14,"[6, 0, 1, 2, 3, 4, 12, 13, 7, 8, 9, 5, 18, 19, 20, 14, 10, 11, 24, 25, 21, 15, 16, 17, 30, 26, 27, 28, 22, 23, 31, 32, 33, 34, 35, 29]",true
15,"[7, 0, 1, 2, 3, 4, 5, 14, 15, 8, 9, 10, 11, 6, 21, 22, 23, 16, 17, 12, 13, 28, 29, 30, 24, 18, 19, 20, 35, 36, 31, 32, 25, 26, 27, 42, 37, 38, 39, 40, 33, 34, 43, 44, 45, 46, 47, 48, 41]",true
16,"[9, 0, 1, 2, 3, 4, 5, 6, 7, 18, 19, 10, 11, 12, 13, 14, 15, 8, 27, 28, 29, 20, 21, 22, 23, 16, 17, 36, 37, 38, 39, 30, 31, 24, 25, 26, 45, 46, 47, 48, 40, 32, 33, 34, 35, 54, 55, 56, 49, 50, 41, 42, 43, 44, 63, 64, 57, 58, 59, 60, 51, 52, 53, 72, 65, 66, 67, 68, 69, 70, 61, 62, 73, 74, 75, 76, 77, 78, 79, 80, 71]",true
17,"[10, 0, 1, 2, 3, 4, 5, 6, 7, 8, 20, 21, 11, 12, 13, 14, 15, 16, 17, 9, 30, 31, 32, 22, 23, 24, 25, 26, 18, 19, 40, 41, 42, 43, 33, 34, 35, 27, 28, 29, 50, 51, 52, 53, 54, 44, 36, 37, 38, 39, 60, 61, 62, 63, 55, 45, 46, 47, 48, 49, 70, 71, 72, 64, 65, 66, 56, 57, 58, 59, 80, 81, 73, 74, 75, 76, 77, 67, 68, 69, 90, 82, 83, 84, 85, 86, 87, 88, 78, 79, 91, 92, 93, 94, 95, 96, 97, 98, 99, 89]",true
